date,portfolio_return,equity,market_state
2025-07-04,-0.006378294787421501,5258176.019947528,BULL
2025-07-11,0.015507694842375346,5339718.209092369,BULL
2025-07-18,-0.01872251585308114,5239745.250271652,BULL
2025-07-25,-0.013606963868203268,5168448.225972615,BULL
2025-08-01,-0.010272542884970284,5115355.119922563,CHOP
2025-08-08,0.013923380109002384,5186578.153649777,CHOP
2025-08-22,-0.006822212337225714,5151194.216181963,CHOP
2025-08-29,0.007705512882975285,5190886.80957746,CHOP
2025-09-05,0.00906138920578271,5237923.455282205,CHOP
2025-09-12,-2.8462473327761017e-06,5237908.546856541,BULL
2025-09-19,-0.003885560405748693,5217556.336797942,BULL
2025-09-26,0.013824515687380596,5289686.526225798,BULL
2025-10-03,0.0005810248922943435,5292759.965769969,CHOP
2025-10-10,-0.02310373248068025,5170477.455436366,BULL
2025-10-17,-0.006993843832232855,5134315.943574963,BULL
2025-10-24,0.009374082498311084,5182445.444802429,BULL
2025-10-31,-0.05318087539987327,4906838.459335749,BULL
2025-11-07,0.0005052801270581263,4909317.787295937,CHOP
2025-11-14,-0.016818994773810526,4826747.997088431,CHOP
2025-11-21,0.006496694313795471,4858105.90335524,CHOP
2025-11-28,-0.008876396033978447,4814983.43138205,CHOP
2025-12-05,0.00040856139641048115,4816950.647736468,CHOP
2025-12-12,-0.0015970944141494422,4809257.522763735,CHOP
2025-12-19,0.009022069430783817,4852646.978044629,CHOP
2025-12-26,0.0009649634651526761,4857329.605087726,CHOP
2026-01-02,-0.0096754703478315,4810332.656524057,CHOP
2026-01-09,0.007869329650564926,4848186.749927122,CHOP
2026-01-16,-0.01352312791730755,4782624.100340862,CHOP
2026-01-23,-0.008628175216501707,4741358.781608457,CHOP
2026-01-30,-0.01592378486971848,4665858.404379973,CHOP
2026-02-06,0.009553476109329183,4710433.57117573,CHOP
2026-02-13,-0.002177388509062951,4700177.127245148,CHOP
2026-02-20,0.006699360518732959,4731665.308322465,CHOP
2026-02-27,-0.016045396448724773,4655743.862587754,CHOP
2026-03-06,-0.016307612407181583,4579819.796209558,BEAR
2026-03-13,-0.01753287412863258,4499522.392190795,BEAR
2026-03-20,-0.0027885753724331873,4486975.13486022,BEAR
2026-03-27,0.009115318822285215,4527875.343762137,BEAR
2026-04-10,0.020518012305742354,4620778.345784317,BEAR
2026-04-17,0.017912772551569835,4703549.2973035695,CHOP
2026-04-24,0.012857129572594862,4764023.440070089,CHOP
2026-05-08,-0.01256571771986667,4704160.06631134,CHOP
2026-05-15,-0.004717232524405099,4681969.449446527,CHOP
2026-05-22,0.0009144034018952143,4686250.658238672,CHOP
